brand,store,fb_link,g_link
michael hill,Belconnen,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Jeweller-1176386329046781/,"https://www.google.com.au/search?source=hp&ei=knHLXefOD7vWz7sPk9uhqAE&q=michael+hill+Belconnen&oq=michael+hill+Belconnen&gs_l=psy-ab.3...88.204..215...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjn39ftmOblAhU763MBHZNtCBUQ4dUDCAY&uact=5#lrd=0x6b17ad7c46242577:0xdca97db93e4352f4,1,,,"
michael hill,Shell Harbour Square,,"https://www.google.com.au/search?source=hp&ei=lXHLXfinFOnCz7sP0a6t0Ac&q=michael+hill+Shell+Harbour+Square&oq=michael+hill+Shell+Harbour+Square&gs_l=psy-ab.3...88.282..304...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwi4xpPvmOblAhVp4XMBHVFXC3oQ4dUDCAY&uact=5#lrd=0x6b13139f065d33f1:0x645e804c0ca92bbd,1,,,"
michael hill,MacArthur Square,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Macarthur-Square-156929057683087/,"https://www.google.com.au/search?source=hp&ei=mHHLXdWvGIW_8QP_jrCYDQ&q=michael+hill+MacArthur+Square&oq=michael+hill+MacArthur+Square&gs_l=psy-ab.3...90.217..228...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjV287wmOblAhWFX3wKHX8HDNMQ4dUDCAY&uact=5#lrd=0x6b12efb150a00f1d:0xaf4e271b7868c55f,1,,,"
michael hill,Crown Central Wollongong,https://www.facebook.com/events/wollongong-central/mindfulness-classes-with-juliet-madison/377919359560886/,"https://www.google.com.au/search?source=hp&ei=m3HLXarFHrzFz7sP9JG5oAc&q=michael+hill+Crown+Central+Wollongong&oq=michael+hill+Crown+Central+Wollongong&gs_l=psy-ab.3...87.317..338...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjq_ovymOblAhW84nMBHfRIDnQQ4dUDCAY&uact=5#lrd=0x6b1319a5d37e8df3:0x67e25eecc6000f6d,1,,,"
michael hill,Tuggeranong,https://www.facebook.com/MichaelHillTuggeranong/,"https://www.google.com.au/search?source=hp&ei=nnHLXe6QF5vDz7sP56KA-AY&q=michael+hill+Tuggeranong&oq=michael+hill+Tuggeranong&gs_l=psy-ab.3...78.295..323...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwju17vzmOblAhWb4XMBHWcRAG8Q4dUDCAY&uact=5#lrd=0x6b17ca8443d1b27f:0x4ed3c26306093a85,1,,,"
michael hill,Dapto Mall,,"https://www.google.com.au/search?source=hp&ei=oXHLXYTtIoKbmgentIbYCA&q=michael+hill+Dapto+Mall&oq=michael+hill+Dapto+Mall&gs_l=psy-ab.3...114.261..274...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjEwf70mOblAhWCjeYKHSeaAYsQ4dUDCAY&uact=5#lrd=0x6b1311be3ea390c7:0xf80d94e6cea343f1,1,,,"
michael hill,Narellan,https://www.facebook.com/MichaelHillNarellan,"https://www.google.com.au/search?source=hp&ei=pHHLXcmsHKHbz7sP37qxsAY&q=michael+hill+Narellan&oq=michael+hill+Narellan&gs_l=psy-ab.3...99.287..309...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjJjq_2mOblAhWh7XMBHV9dDGYQ4dUDCAY&uact=5#lrd=0x6b12f1ba472cc371:0x1d4df25212680f66,1,,,"
michael hill,Canberra Centre,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Jeweller-194646144212356/,"https://www.google.com.au/search?source=hp&ei=p3HLXf7WF8rhz7sP96SOmAU&q=michael+hill+Canberra+Centre&oq=michael+hill+Canberra+Centre&gs_l=psy-ab.3...70.196..210...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwi-xuH3mOblAhXK8HMBHXeSA1MQ4dUDCAY&uact=5#lrd=0x6b164d65e791bc43:0x9f2c45674ce08a0a,1,,,"
michael hill,Highlands Market Place,https://www.facebook.com/HighlandsMarketplaceMittagong/?rf=175815069101961,"https://www.google.com.au/search?source=hp&ei=qnHLXdibF5fSz7sPuc6_gAQ&q=michael+hill+Highlands+Market+Place&oq=michael+hill+Highlands+Market+Place&gs_l=psy-ab.3...101.386..401...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjYmJj5mOblAhUX6XMBHTnnD0AQ4dUDCAY&uact=5#lrd=0x6b13a3095a938aad:0xff08ec9d6af2ab6,1,,,"
michael hill,Goulburn,https://en-gb.facebook.com/pages/category/Jewelry---Watches-Store/MichaelHillGoulburn/about/,"https://www.google.com.au/search?source=hp&ei=rXHLXfnoM73Tz7sP7ame0A4&q=michael+hill+Goulburn&oq=michael+hill+Goulburn&gs_l=psy-ab.3...102.273..290...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwi58-v6mOblAhW96XMBHe2UB-oQ4dUDCAY&uact=5#lrd=0x6b16aee1c397fcb1:0xe9463947d346b9c2,1,,,"
